BASE	TYPE	NAME	1	2	3	4	5	6	7	8	9	10	11	12	13		order
BOOTS (INT)	PREFIX	#% increased Energy Shield	1000	1000	1000	1000	1000	1000	1000								1
BOOTS (INT)	PREFIX	#% increased Energy Shield, # to Stun Threshold	1000	1000	1000	1000	1000	1000									2
BOOTS (INT)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									3
BOOTS (INT)	PREFIX	# to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000								4
BOOTS (INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						5
BOOTS (INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						6
BOOTS (INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							7
BOOTS (INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												8
BOOTS (INT)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										9
BOOTS (INT)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										10
BOOTS (INT)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										11
BOOTS (INT)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										12
BOOTS (INT)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000							13
BOOTS (INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				14
BOOTS (INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									15
BOOTS (INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							16
BOOTS (INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							17
BOOTS (INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							18
BOOTS (INT)	SUFFIX	#% increased Energy Shield Recharge Rate	1000	1000	1000	1000											19
BOOTS (DEX)	PREFIX	#% increased Evasion Rating	1000	1000	1000	1000	1000	1000	1000								20
BOOTS (DEX)	PREFIX	#% increased Evasion Rating, # to Stun Threshold	1000	1000	1000	1000	1000	1000									21
BOOTS (DEX)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									22
BOOTS (DEX)	PREFIX	# to Evasion Rating	1000	1000	1000	1000	1000	1000	1000								23
BOOTS (DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						24
BOOTS (DEX)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						25
BOOTS (DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							26
BOOTS (DEX)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												27
BOOTS (DEX)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										28
BOOTS (DEX)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										29
BOOTS (DEX)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										30
BOOTS (DEX)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										31
BOOTS (DEX)	SUFFIX	# to Dexterity	1000	1000	1000	1000	1000	1000	1000	1000							32
BOOTS (DEX)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				33
BOOTS (DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									34
BOOTS (DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							35
BOOTS (DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							36
BOOTS (DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							37
BOOTS (DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	1000	1000	1000	1000	1000										38
BOOTS (STR)	PREFIX	#% increased Armour	1000	1000	1000	1000	1000	1000	1000								39
BOOTS (STR)	PREFIX	#% increased Armour, # to Stun Threshold	1000	1000	1000	1000	1000	1000									40
BOOTS (STR)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									41
BOOTS (STR)	PREFIX	# to Armour	1000	1000	1000	1000	1000	1000	1000								42
BOOTS (STR)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						43
BOOTS (STR)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						44
BOOTS (STR)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							45
BOOTS (STR)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												46
BOOTS (STR)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										47
BOOTS (STR)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										48
BOOTS (STR)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										49
BOOTS (STR)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										50
BOOTS (STR)	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000							51
BOOTS (STR)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				52
BOOTS (STR)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									53
